,low value,high value,correlation,input id,low search range,high search range,secret value
0,4.798842668533325,4.798843264579773,0.9300757554674014,-2.0,0.0,5.0,1.1997107309301103
1,4.798842668533325,4.798843264579773,0.9790696036242217,-1.0,0.0,5.0,1.1997107309301103
2,1.1997103691101074,1.1997109651565552,0.9998363407061783,0.0,0.0,5.0,1.1997107309301103
3,0.5998544692993164,0.5998554229736328,0.9416463887893788,-1.0,0.0,1.0,1.1997107309301103
4,0.5998544692993164,0.5998554229736328,0.9646591589584559,-0.0,0.0,1.0,1.1997107309301103
5,0.5998544692993164,0.5998554229736328,0.7330980286832701,1.0,0.0,1.0,1.1997107309301103
6,0.07498188018798828,0.07498197555541991,0.9910905313728432,0.0,0.0,0.1,1.1997107309301103
7,0.0046863555908203125,0.0046864509582519535,0.7680413663423885,1.0,0.0,0.1,1.1997107309301103
8,0.009372711181640625,0.009372806549072266,0.9036147191931463,2.0,0.0,0.1,1.1997107309301103
9,0.0046863651275634785,0.004686374664306643,0.8771038525774254,1.0,0.0,0.01,1.1997107309301103
10,0.0046863651275634785,0.004686374664306643,0.9761279210251245,2.0,0.0,0.01,1.1997107309301103
11,0.0011715888977050786,0.0011715984344482426,0.922123372548216,3.0,0.0,0.01,1.1997107309301103
12,0.0005857954025268554,0.0005857963562011719,0.9174818255752394,2.0,0.0,0.001,1.1997107309301103
13,0.00029289722442626953,0.00029289817810058597,0.9665227507618245,3.0,0.0,0.001,1.1997107309301103
14,0.00029289722442626953,0.00029289817810058597,0.8022511042845464,4.0,0.0,0.001,1.1997107309301103
15,1.8306064605712894e-05,1.8306159973144537e-05,0.9933102040851233,3.0,0.0,0.0001,1.1997107309301103
16,7.322444915771486e-05,7.32245445251465e-05,0.9738624145096034,4.0,0.0,0.0001,1.1997107309301103
17,9.152984619140627e-06,9.153079986572269e-06,0.9651617297966621,5.0,0.0,0.0001,1.1997107309301103
18,1.1441326141357422e-06,1.1441421508789062e-06,0.9711157033363774,4.0,0.0,1e-05,1.1997107309301103
19,9.153060913085938e-06,9.153070449829102e-06,0.9674551882360485,5.0,0.0,1e-05,1.1997107309301103
20,9.153060913085938e-06,9.153070449829102e-06,0.7373532157154813,6.0,0.0,1e-05,1.1997107309301103
21,0.5664980411529541,0.5664986371994019,0.9339042528249202,-2.0,0.0,5.0,4.531985279698317
22,4.531984925270081,4.531985521316528,0.9999999999999998,-1.0,0.0,5.0,4.531985279698317
23,4.531984925270081,4.531985521316528,1.0,0.0,0.0,5.0,4.531985279698317
24,0.2832489013671875,0.2832498550415039,0.9733914429145696,-1.0,0.0,1.0,4.531985279698317
25,0.2832489013671875,0.2832498550415039,0.7412547499752954,-0.0,0.0,1.0,4.531985279698317
26,0.07081222534179688,0.07081317901611328,0.890027774503621,1.0,0.0,1.0,4.531985279698317
27,0.01770305633544922,0.017703151702880858,0.8575442415112662,0.0,0.0,0.1,4.531985279698317
28,0.07081222534179688,0.07081232070922852,0.8829702908649121,1.0,0.0,0.1,4.531985279698317
29,0.00885152816772461,0.00885162353515625,0.9439877794578135,2.0,0.0,0.1,4.531985279698317
30,0.004425764083862306,0.00442577362060547,0.9003697070806695,1.0,0.0,0.01,4.531985279698317
31,0.008851528167724613,0.008851537704467775,0.96009940417983,2.0,0.0,0.01,4.531985279698317
32,0.004425764083862306,0.00442577362060547,0.6517280472792448,3.0,0.0,0.01,4.531985279698317
33,1.7287254333496096e-05,1.72882080078125e-05,0.946226198320515,2.0,0.0,0.001,4.531985279698317
34,0.0005532207489013672,0.0005532217025756836,0.948862194033615,3.0,0.0,0.001,4.531985279698317
35,0.0002766103744506836,0.000276611328125,0.7043465816569784,4.0,0.0,0.001,4.531985279698317
36,4.321956634521485e-06,4.322052001953125e-06,0.93172434765718,3.0,0.0,0.0001,4.531985279698317
37,6.915254592895507e-05,6.915264129638671e-05,0.9999175455717905,4.0,0.0,0.0001,4.531985279698317
38,6.915254592895507e-05,6.915264129638671e-05,0.9114157081757951,5.0,0.0,0.0001,4.531985279698317
39,8.644075393676762e-06,8.644084930419926e-06,0.9546698235185636,4.0,0.0,1e-05,4.531985279698317
40,2.1610164642333992e-06,2.1610260009765634e-06,0.8490206009276416,5.0,0.0,1e-05,4.531985279698317
41,4.3220329284667985e-06,4.322042465209963e-06,0.7457713428720764,6.0,0.0,1e-05,4.531985279698317
42,4.848955273628235,4.848955869674683,0.9995957257280761,-2.0,0.0,5.0,4.8489555459205915
43,4.848955273628235,4.848955869674683,0.9999195860022542,-1.0,0.0,5.0,4.8489555459205915
44,4.848955273628235,4.848955869674683,1.0,0.0,0.0,5.0,4.8489555459205915
45,0.30305957794189453,0.30306053161621094,0.9826730857035663,-1.0,0.0,1.0,4.8489555459205915
46,0.30305957794189453,0.30306053161621094,0.7385381702931711,-0.0,0.0,1.0,4.8489555459205915
47,0.30305957794189453,0.30306053161621094,0.7767569750330043,1.0,0.0,1.0,4.8489555459205915
48,0.018941211700439456,0.018941307067871095,0.8496838052279863,0.0,0.0,0.1,4.8489555459205915
49,0.07576484680175782,0.07576494216918947,0.8764390102973155,1.0,0.0,0.1,4.8489555459205915
50,0.009470558166503908,0.009470653533935548,0.9377827002683682,2.0,0.0,0.1,4.8489555459205915
51,0.0002959537506103516,0.00029596328735351566,0.9008725660792775,1.0,0.0,0.01,4.8489555459205915
52,0.00947061538696289,0.009470624923706055,0.9562168979055432,2.0,0.0,0.01,4.8489555459205915
53,0.0005919075012207032,0.0005919170379638673,0.8969273997613365,3.0,0.0,0.01,4.8489555459205915
54,0.0005919132232666015,0.0005919141769409179,0.9332615365936073,2.0,0.0,0.001,4.8489555459205915
55,0.00014797782897949218,0.0001479787826538086,0.927829015582308,3.0,0.0,0.001,4.8489555459205915
56,0.00014797782897949218,0.0001479787826538086,0.9389657663236658,4.0,0.0,0.001,4.8489555459205915
57,7.398910522460938e-05,7.398920059204102e-05,0.9983242273082512,3.0,0.0,0.0001,4.8489555459205915
58,1.8497276306152345e-05,1.8497371673583985e-05,0.9744540133081573,4.0,0.0,0.0001,4.8489555459205915
59,7.398910522460938e-05,7.398920059204102e-05,0.9250658589581032,5.0,0.0,0.0001,4.8489555459205915
60,9.248647689819336e-06,9.2486572265625e-06,0.9554146471990232,4.0,0.0,1e-05,4.8489555459205915
61,4.624319076538086e-06,4.62432861328125e-06,0.940872211496906,5.0,0.0,1e-05,4.8489555459205915
