,guessed_numbers
-1.2616424335420084,-1.2619999999987517
-1.0933168400711732,-1.0929999999986952
0.14216115389915407,4.54900000000319
-0.3587481649636368,-0.3589999999984501
1.4248871777794383,1.4250000000021457
1.1325771605229917,1.1330000000020481
0.7240147609314067,0.7240000000019116
-0.42558185061673104,-0.4259999999984725
0.6343076328196453,0.6340000000018815
-1.952893265513631,-1.9529999999989824
-0.540889301140085,-0.5409999999985109
-3.828905119669405,-3.828999999999609
0.18568981124635253,2.971000000002662
4.644651496317346,4.645000000003222
1.2024244412399723,1.2020000000020712
-0.3288439368582923,-0.3289999999984401
-4.319476257800851,-4.318999999999773
-0.7014368630754392,-0.7009999999985643
0.2080874114154061,0.20800000000173924
-0.15742340621191175,-2.5189999999991715
-1.7114924335222348,-1.7109999999989016
-1.210355060853706,-1.2099999999987343
0.4924761778467204,0.4930000000018344
-1.3638349796016946,-1.3639999999987857
1.3573462443783662,1.357000000002123
2.9130407697116443,2.9130000000026426
-1.8991281554009576,-1.8989999999989644
-0.23984196467959884,-0.23999999999841037
-0.4917476506863083,-0.49199999999849453
-1.0736935194849364,-1.073999999998689
-1.4997413477041412,-1.4999999999988312
0.2848486351839199,0.28500000000176495
